Summary Statistics:
Number of Cases:   200
Number Correct:    155
Accuracy:          77.5%
Sensitivity:       73%
Specificity:       82%
Pos Cases Missed:  27
Neg Cases Missed:  18

Fitted ROC Area:   0.853
Empiric ROC Area:  0.842

Points for Plotting:  
FPF   	TPF   	Lower 	Upper
0.0000	0.0000	0.0000	0.0000
0.0050	0.0099	0.0001	0.1935
0.0100	0.0284	0.0007	0.2713
0.0200	0.0754	0.0054	0.3728
0.0300	0.1271	0.0162	0.4440
0.0400	0.1795	0.0333	0.4998
0.0500	0.2309	0.0562	0.5461
0.0600	0.2805	0.0840	0.5857
0.0700	0.3279	0.1155	0.6203
0.0800	0.3728	0.1499	0.6510
0.0900	0.4152	0.1861	0.6787
0.1000	0.4552	0.2235	0.7038
0.1100	0.4928	0.2613	0.7268
0.1200	0.5280	0.2990	0.7479
0.1300	0.5611	0.3361	0.7674
0.1400	0.5920	0.3724	0.7855
0.1500	0.6210	0.4075	0.8023
0.2000	0.7397	0.5608	0.8711
0.2500	0.8236	0.6753	0.9198
0.3000	0.8823	0.7577	0.9530
0.4000	0.9507	0.8608	0.9867
0.5000	0.9815	0.9190	0.9972
0.6000	0.9941	0.9543	0.9996
0.7000	0.9986	0.9764	1.0000
0.8000	0.9998	0.9898	1.0000
0.9000	1.0000	0.9972	1.0000
0.9500	1.0000	0.9992	1.0000
1.0000	1.0000	1.0000	1.0000
