,datetimes,stamp,distance,alert
0,2008-06-20 04:15:00,14,2.062533333333333,False
1,2009-06-08 13:15:00,21,1.7398666666666665,False
2,2008-12-15 17:30:00,5,3.0438666666666663,False
3,2007-08-04 14:00:00,14,0.25386666666666513,False
4,2008-07-23 19:00:00,35,12.932266666666663,False
0,2007-10-07 19:30:00,3,1.2071999999999994,False
1,2008-06-21 22:45:00,4,7.12160000000001,False
2,2009-02-16 07:00:00,3,9.531466666666665,False
3,2009-11-04 22:00:00,35,19.52133333333335,True
4,2009-03-19 11:15:00,21,0.9205333333333341,False
0,2007-01-28 06:15:00,4,1.9764000000000006,False
1,2007-07-04 02:15:00,35,1.1670666666666658,False
2,2009-05-28 04:15:00,4,0.3848000000000028,False
3,2007-03-28 02:00:00,4,8.284266666666657,False
4,2007-11-22 18:00:00,2,2.3297333333333263,False
0,2007-03-03 06:15:00,4,0.6270666666666649,False
1,2007-05-20 21:45:00,28,25.740400000000005,True
2,2008-04-23 05:45:00,4,0.3950666666666698,False
3,2008-10-25 09:15:00,3,5.374933333333338,False
4,2007-05-12 03:30:00,28,2.4200000000000004,False
0,2007-01-24 20:45:00,7,12.304933333333326,False
1,2008-11-24 10:45:00,35,15.814000000000018,True
2,2007-11-13 23:15:00,2,0.4022666666666655,False
3,2008-10-24 22:30:00,2,5.385066666666672,False
4,2008-07-17 10:30:00,1,1.2209333333333277,False
0,2007-10-03 04:15:00,21,0.05066666666666714,False
1,2009-03-10 06:00:00,4,0.2897333333333334,False
2,2008-03-18 18:00:00,4,9.650666666666668,False
3,2008-11-17 17:45:00,7,2.2541333333333333,False
4,2009-02-14 19:45:00,2,2.2743999999999853,False
0,2007-03-14 05:30:00,4,0.8813333333333322,False
1,2009-04-01 15:30:00,1,6.7186666666666675,False
2,2009-08-09 07:00:00,5,0.8986666666666645,False
3,2009-09-07 08:15:00,21,2.472266666666669,False
4,2009-02-25 07:45:00,14,5.612133333333333,False
0,2007-05-27 19:30:00,35,4.231066666666665,False
1,2008-09-10 04:45:00,3,3.0049333333333332,False
2,2007-07-08 19:00:00,2,16.220800000000004,True
3,2009-12-08 08:15:00,28,9.435999999999993,False
4,2008-07-19 04:30:00,5,0.198266666666666,False
0,2009-07-13 10:30:00,28,16.614666666666665,True
1,2007-05-15 22:15:00,7,10.467733333333335,False
2,2007-08-01 06:45:00,28,2.728533333333333,False
3,2009-10-28 05:15:00,3,1.8237333333333328,False
4,2007-02-12 03:30:00,7,14.366799999999996,False
0,2007-06-16 14:00:00,21,6.887466666666659,False
1,2009-07-05 05:30:00,14,1.0066666666666655,False
2,2007-12-27 19:30:00,4,37.092933333333335,True
3,2008-09-11 14:15:00,1,6.650533333333333,False
4,2008-02-23 07:45:00,21,0.9024000000000002,False
0,2009-05-12 15:00:00,28,4.880666666666668,False
1,2007-02-06 05:45:00,21,0.16666666666666735,False
2,2009-10-11 05:45:00,7,0.25826666666666637,False
3,2009-02-27 17:15:00,28,12.439333333333341,False
4,2007-04-27 08:15:00,2,4.407200000000005,False
0,2007-09-02 03:30:00,1,1.4103999999999994,False
1,2009-05-03 01:30:00,14,1.2160000000000042,False
2,2007-06-18 03:00:00,4,0.20159999999999928,False
3,2009-08-01 04:30:00,21,11.259466666666667,False
4,2008-04-14 23:00:00,14,4.931333333333334,False
0,2009-06-07 19:30:00,1,33.55599999999999,True
1,2008-01-06 23:30:00,28,1.4131999999999998,False
2,2008-05-26 10:00:00,35,0.5680000000000094,False
3,2007-03-22 20:30:00,21,1.1318666666666666,False
4,2007-08-20 21:30:00,21,1.2954666666666659,False
0,2007-09-18 10:30:00,28,2.3475999999999977,False
1,2009-08-04 07:15:00,3,1.9469333333333247,False
2,2007-09-13 11:15:00,14,0.5361333333333346,False
3,2007-03-01 05:00:00,14,4.57546666666667,False
4,2007-06-24 17:45:00,1,1.0001333333333362,False
0,2008-07-17 01:45:00,4,0.38613333333333233,False
1,2008-02-21 01:45:00,21,0.8328000000000007,False
2,2009-06-11 11:30:00,7,0.5765333333333373,False
3,2008-01-02 05:45:00,35,0.7630666666666635,False
4,2009-11-14 19:15:00,3,14.586533333333302,False
0,2007-02-01 16:45:00,2,3.91773333333333,False
1,2007-12-12 06:00:00,2,0.836266666666668,False
2,2009-03-13 15:45:00,28,1.980000000000001,False
3,2007-09-05 05:00:00,28,0.9806666666666665,False
4,2007-11-14 10:30:00,21,2.3114666666666714,False
0,2009-09-21 10:15:00,5,0.34399999999999986,False
1,2008-09-21 01:30:00,7,2.6530666666666627,False
2,2007-10-03 03:15:00,4,16.1016,True
3,2007-06-26 06:15:00,7,9.930933333333332,False
4,2009-07-26 18:45:00,2,1.6365333333333332,False
0,2007-02-02 10:15:00,2,6.967466666666662,False
1,2007-02-28 14:30:00,4,0.2216000000000003,False
2,2009-07-13 05:00:00,7,1.721333333333334,False
3,2009-06-16 08:30:00,28,11.933599999999998,False
4,2007-03-17 05:45:00,35,0.3321333333333329,False
0,2007-12-03 14:45:00,1,5.617999999999995,False
1,2008-06-06 14:00:00,4,5.402666666666665,False
2,2007-02-05 20:30:00,35,6.7497333333333325,False
3,2008-11-16 18:30:00,14,32.05906666666667,True
4,2007-12-10 09:00:00,28,2.007200000000008,False
0,2009-06-06 18:30:00,14,29.362933333333324,True
1,2009-07-07 21:30:00,4,6.1125333333333325,False
2,2007-05-07 12:30:00,21,5.301066666666665,False
3,2008-02-26 16:00:00,2,0.7466666666666635,False
4,2008-10-12 12:45:00,3,2.82493333333333,False
